"Date","Price","Open","High","Low","Change %"
"04/21/2022","12.99","14.01","14.01","12.99","-7.41%"
"04/20/2022","14.03","14.02","14.03","14.02","0.29%"
"04/19/2022","13.99","14.03","14.03","13.99","-0.21%"
"04/18/2022","14.02","14.00","14.02","14.00","0.00%"
"04/15/2022","14.02","14.02","14.02","14.02","0.14%"
"04/14/2022","14.00","14.03","14.03","14.00","-0.28%"
"04/13/2022","14.04","14.01","14.04","14.01","-0.14%"
"04/12/2022","14.06","14.01","14.06","14.01","0.29%"
"04/11/2022","14.02","14.00","14.02","14.00","0.21%"
"04/08/2022","13.99","14.01","14.01","13.99","-0.21%"
"04/07/2022","14.02","14.03","14.03","14.02","0.00%"
"04/06/2022","14.02","14.00","14.02","14.00","0.21%"
"04/05/2022","13.99","14.01","14.01","13.99","-0.29%"
"04/04/2022","14.03","14.01","14.03","14.01","-0.21%"
"04/01/2022","14.06","14.08","14.08","14.06","-0.28%"
"03/31/2022","14.10","14.10","14.10","14.10","-0.07%"
"03/30/2022","14.11","14.11","14.11","14.11","0.00%"
"03/29/2022","14.11","14.09","14.11","14.09","0.14%"
"03/28/2022","14.09","14.08","14.09","14.08","0.28%"
"03/25/2022","14.05","13.10","14.05","13.10","7.33%"
"03/24/2022","13.09","13.09","13.09","13.09","-0.30%"
"03/23/2022","13.13","13.10","13.13","13.10","0.31%"
"03/22/2022","13.09","13.10","13.10","13.09","0.23%"
"03/21/2022","13.06","13.10","13.10","13.06","-0.31%"
"03/18/2022","13.10","13.10","13.10","13.10","0.08%"
"03/17/2022","13.09","13.10","13.10","13.09","0.08%"
"03/16/2022","13.08","15.08","15.08","13.08","-13.09%"
"03/15/2022","15.05","15.05","15.05","15.05","0.00%"
"03/14/2022","15.05","15.06","15.06","15.05","-0.13%"
"03/11/2022","15.07","15.08","15.08","15.07","0.00%"
"03/10/2022","15.07","15.08","15.08","15.07","0.07%"
"03/09/2022","15.06","15.09","15.09","15.06","0.00%"
"03/08/2022","15.06","15.08","15.08","15.06","-0.07%"
"03/07/2022","15.07","12.11","15.07","12.11","24.34%"
"03/04/2022","12.12","12.11","12.12","12.11","9.19%"
"03/03/2022","11.10","10.12","11.10","10.12","10.45%"
"03/02/2022","10.05","10.11","10.11","10.05","-1.28%"
"03/01/2022","10.18","10.18","10.18","10.18","11.87%"
"01/27/2022","9.10","9.10","9.10","9.10","0.22%"
"01/17/2022","9.08","9.09","9.09","9.08","0.00%"
"01/14/2022","9.08","9.12","9.12","9.08","-0.44%"
"01/13/2022","9.12","9.11","9.12","9.11","0.11%"
"01/12/2022","9.11","9.11","9.11","9.11","0.00%"
"01/11/2022","9.11","9.10","9.11","9.09","0.22%"
"01/10/2022","9.09","9.10","9.10","9.09","-0.11%"
"01/07/2022","9.10","9.11","9.11","9.10","0.11%"
"01/06/2022","9.09","9.09","9.09","9.09","0.11%"
"01/05/2022","9.08","9.11","9.11","9.08","-0.33%"
"01/04/2022","9.11","9.11","9.11","9.11","0.33%"
"01/03/2022","9.08","9.10","9.10","9.08","-0.33%"
"12/31/2021","9.11","9.11","9.11","9.11","0.00%"
"12/30/2021","9.11","9.11","9.11","9.11","0.11%"
"12/29/2021","9.10","9.11","9.11","9.10","-0.11%"
"12/28/2021","9.11","9.11","9.11","9.11","0.00%"
"12/27/2021","9.11","9.11","9.11","9.11","0.00%"
"12/24/2021","9.11","9.11","9.11","9.11","0.11%"
"12/23/2021","9.10","9.11","9.11","9.10","0.00%"
"12/22/2021","9.10","9.11","9.11","9.10","0.11%"
"12/21/2021","9.09","9.11","9.11","9.09","-0.22%"
"12/20/2021","9.11","9.12","9.12","9.11","0.11%"
"12/17/2021","9.10","9.11","9.11","9.10","-0.33%"
"12/16/2021","9.13","9.11","9.13","9.11","0.22%"
"12/15/2021","9.11","9.11","9.11","9.11","0.11%"
"12/14/2021","9.10","9.11","9.11","9.10","-0.33%"
"12/13/2021","9.13","9.11","9.13","9.11","0.11%"
"12/10/2021","9.12","9.11","9.12","9.11","0.00%"
"12/09/2021","9.12","9.12","9.12","9.12","0.00%"
"12/08/2021","9.12","9.12","9.12","9.12","0.33%"
"12/07/2021","9.09","9.11","9.11","9.09","0.00%"
"12/06/2021","9.09","9.11","9.11","9.09","-0.55%"
"12/03/2021","9.14","9.12","9.14","9.12","0.55%"
"12/02/2021","9.09","9.13","9.13","9.09","-0.33%"
"12/01/2021","9.12","9.10","9.12","9.10","0.00%"
