country,date,sentiment_gdelt,sentiment_climatebert,sentiment_std,article_count,pct_positive,pct_negative
Indonesia,2023-05-06,0.1826028216739166,0.0,0.27040743455604443,14,0.7142857142857143,0.2857142857142857
Indonesia,2023-05-07,-0.020217430864951823,0.0,0.4680889553022922,23,0.5217391304347826,0.391304347826087
Indonesia,2023-05-08,-0.0599270218157815,0.0,0.33158004875412994,24,0.2916666666666667,0.5416666666666666
Indonesia,2023-05-09,-0.11493092369269671,0.0,0.47939759625006956,44,0.4090909090909091,0.5227272727272727
Indonesia,2023-05-10,0.06353013523118776,0.0,0.5419605695969308,29,0.6896551724137931,0.3103448275862069
Indonesia,2023-05-11,-0.04121487148611554,0.0,0.4113081876741639,35,0.4857142857142857,0.4857142857142857
Indonesia,2023-05-12,-0.06762665524917591,0.0,0.3468647123072363,40,0.425,0.45
Indonesia,2023-05-13,0.054522148260030975,0.0,0.3494756894511043,23,0.6086956521739131,0.34782608695652173
Indonesia,2023-05-14,0.03933255098776594,0.0,0.4809859959251564,29,0.4827586206896552,0.4827586206896552
Indonesia,2023-05-15,-0.024617453045833845,0.0,0.3641967491682395,39,0.48717948717948717,0.46153846153846156
Indonesia,2023-05-16,0.04527196560199926,0.0,0.4353983648726302,27,0.6666666666666666,0.2962962962962963
Indonesia,2023-05-17,-0.19787538587131,0.0,0.48612484560318986,44,0.36363636363636365,0.6136363636363636
Indonesia,2023-05-18,-0.06236992250882055,0.0,0.4553109165120841,34,0.5,0.47058823529411764
Indonesia,2023-05-19,-0.10859577347826507,0.0,0.4359983056532769,40,0.45,0.5
Indonesia,2023-05-20,0.10162387337673229,0.0,0.3265321054921044,24,0.5,0.375
Indonesia,2023-05-21,-0.07668015358638738,0.0,0.38635087228000886,25,0.36,0.52
Indonesia,2023-05-22,0.018091636854643874,0.0,0.41056077400667956,35,0.5142857142857142,0.45714285714285713
Indonesia,2023-05-23,-0.13517289844832026,0.0,0.47676377687986976,32,0.4375,0.5625
Indonesia,2023-05-24,0.10988235584271346,0.0,0.5029100811407758,35,0.5714285714285714,0.42857142857142855
Indonesia,2023-05-25,-0.052199045800864825,0.0,0.4190310592528295,38,0.5263157894736842,0.47368421052631576
Indonesia,2023-05-26,0.006490903562145317,0.0,0.45623127428191773,29,0.5517241379310345,0.41379310344827586
Indonesia,2023-05-27,0.10555287667249035,0.0,0.4103233203888815,27,0.6296296296296297,0.37037037037037035
Indonesia,2023-05-28,-0.09547966946977178,0.0,0.4282649613727349,19,0.3684210526315789,0.631578947368421
Indonesia,2023-05-29,-0.12626172662967894,0.0,0.38141316850167445,25,0.32,0.64
Indonesia,2023-05-30,-0.06599594805188576,0.0,0.46311739149545933,39,0.46153846153846156,0.5128205128205128
Indonesia,2023-05-31,-0.058293025173145226,0.0,0.44770963606924413,43,0.5348837209302325,0.37209302325581395
Indonesia,2023-06-01,-0.10046480911701745,0.0,0.3930665039582058,32,0.4375,0.5
Indonesia,2023-06-02,0.047589521368905464,0.0,0.3809876457160177,37,0.5945945945945946,0.3783783783783784
